数据唯一ID,用户ID,记录分组ID,上传时间,数据时间,Acceleration,外部ID,元数据版本
140e2e839bdb41eba2423546a2ae4b9a,ff204ebb74b94e37bb0debe1fcf2807d,dea2a9bf089b4cce93a03e5e61350305,2025-04-05 01:19:44,2025-04-05 01:15:57,kitattachments/20250405/Acceleration/acceleration-1743787178552-23c30d6c3cf34137acdab117825d7cca.zip,1,1
e7071cb72ea140fb9716786339d1bf90,ff204ebb74b94e37bb0debe1fcf2807d,0b490ae24675491a87d6e09ae8b0ec3b,2025-04-02 13:44:46,2025-04-02 13:43:43,kitattachments/20250402/Acceleration/acceleration-1743572684088-f68279fea0464e74ba4baf3a0ccd4440.zip,B1B,1
