数据唯一ID,用户ID,记录分组ID,上传时间,数据时间,心率(beats/min),心率单位,心率.测量开始时间,心率.测量结束时间,心率.测量时间,心率.统计描述,心率.身体活动状态,心率.睡眠状态,心率.用户备注,外部ID,元数据版本
177bdbd0c7bb4f8ca9ea0c702b438c90,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,104,beats/min,,,2025-04-02 13:50:09, , , , ,B1B,1
8d4907471f2f4f8d8e2050b9edc72d13,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,96,beats/min,,,2025-04-02 13:49:34, , , , ,B1B,1
fe155649f48f4c318a9d7bd91e54bb89,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,98,beats/min,,,2025-04-02 13:49:24, , , , ,B1B,1
bda5793e36c645b1ac902b79d0b897b6,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,100,beats/min,,,2025-04-02 13:49:39, , , , ,B1B,1
4862f261025e4cada133b7f923b1f3a2,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,95,beats/min,,,2025-04-02 13:49:29, , , , ,B1B,1
a3c645c5864f4e1f8f9efebf00f04913,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,99,beats/min,,,2025-04-02 13:49:19, , , , ,B1B,1
8816a8afcf574d69a09830fff5ed8e70,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,101,beats/min,,,2025-04-02 13:49:04, , , , ,B1B,1
49518b6d57374cb1a01e53f371a6d2a8,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,102,beats/min,,,2025-04-02 13:49:09, , , , ,B1B,1
212cf455095e4a2997f61c37e9c848b2,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,100,beats/min,,,2025-04-02 13:49:14, , , , ,B1B,1
73d0461feafe4780a49529084dbba8ac,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,102,beats/min,,,2025-04-02 13:48:44, , , , ,B1B,1
2453c88667434cb4bb1149e5b9e1cb10,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,102,beats/min,,,2025-04-02 13:48:59, , , , ,B1B,1
f99089f5ad1b469aa405c0ad2d96fc8f,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,103,beats/min,,,2025-04-02 13:48:49, , , , ,B1B,1
ba97cb208a284f6482bb26ebc1f203f7,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,103,beats/min,,,2025-04-02 13:48:54, , , , ,B1B,1
c5c5a2ce43264587912951d7dbfecde0,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,106,beats/min,,,2025-04-02 13:48:34, , , , ,B1B,1
c2b1ba20b12b4da8a8232f0b131e50d2,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,104,beats/min,,,2025-04-02 13:48:24, , , , ,B1B,1
5d0517f13d994ce783debc8045413dea,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,104,beats/min,,,2025-04-02 13:48:29, , , , ,B1B,1
7bacae2a038d4426b661721623d45af0,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,105,beats/min,,,2025-04-02 13:48:39, , , , ,B1B,1
d419a0e5605c43b1b14c24ec3b242217,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,103,beats/min,,,2025-04-02 13:48:19, , , , ,B1B,1
7a80e458172f4191954f453951f479c6,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,103,beats/min,,,2025-04-02 13:48:09, , , , ,B1B,1
40918430f98546ec91168a84a1f17c16,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,103,beats/min,,,2025-04-02 13:48:04, , , , ,B1B,1
db04416f0e774c32bab02011488a66a0,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,103,beats/min,,,2025-04-02 13:48:14, , , , ,B1B,1
875d14ba398545488891080f5460e37c,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,105,beats/min,,,2025-04-02 13:47:59, , , , ,B1B,1
cc7edae6f1b14575b1e9ce55db69f250,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,106,beats/min,,,2025-04-02 13:47:39, , , , ,B1B,1
61eb159031124c759644e818d2911aec,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,102,beats/min,,,2025-04-02 13:47:54, , , , ,B1B,1
089786b3d0634a51aa1282dcc757c2b0,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,105,beats/min,,,2025-04-02 13:47:34, , , , ,B1B,1
c6d418426ecb4035af29cf06c9b05d00,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,103,beats/min,,,2025-04-02 13:47:49, , , , ,B1B,1
34adc2689bd74a79add7828d49bc8675,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,105,beats/min,,,2025-04-02 13:47:44, , , , ,B1B,1
68694f47b3844899a64e123d0125f9ee,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,107,beats/min,,,2025-04-02 13:47:24, , , , ,B1B,1
fd12e577b59b44c59585619d660a93b5,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,105,beats/min,,,2025-04-02 13:47:29, , , , ,B1B,1
12b0dc0e0adf4fc09c0de4b83c3bbfe0,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,108,beats/min,,,2025-04-02 13:47:14, , , , ,B1B,1
589d24b951a54509ba0d616af6c40ef5,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,104,beats/min,,,2025-04-02 13:47:19, , , , ,B1B,1
38fb9e04475b45b1b1add74d7346d024,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,108,beats/min,,,2025-04-02 13:46:59, , , , ,B1B,1
d015263ca9e64d52a9362704545fc5f2,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,114,beats/min,,,2025-04-02 13:46:54, , , , ,B1B,1
1167d67336594bfaaa4819336be866b7,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,104,beats/min,,,2025-04-02 13:47:04, , , , ,B1B,1
7374c4d8029042259020084b5a7fe4d9,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,110,beats/min,,,2025-04-02 13:47:09, , , , ,B1B,1
ce88c3ef219e47c6a889b8c03c6cf628,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,110,beats/min,,,2025-04-02 13:46:44, , , , ,B1B,1
8ebc64ec91764bc6af64be824d7b1838,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,101,beats/min,,,2025-04-02 13:46:34, , , , ,B1B,1
ad87ad9d4e7245c6b3178f630fc78f5a,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,104,beats/min,,,2025-04-02 13:46:39, , , , ,B1B,1
c4623d88da724310bb80c7b9dee405db,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,104,beats/min,,,2025-04-02 13:46:29, , , , ,B1B,1
dda2b859d8f64b43afd12f7ee58745bb,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,116,beats/min,,,2025-04-02 13:46:49, , , , ,B1B,1
a7acce15b6d44cd59ec58575792afe78,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,105,beats/min,,,2025-04-02 13:46:24, , , , ,B1B,1
bb01455c307a4333bb037c70017d2995,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,106,beats/min,,,2025-04-02 13:46:19, , , , ,B1B,1
080c30986857444cb41cbad143e526ea,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,105,beats/min,,,2025-04-02 13:46:14, , , , ,B1B,1
97950088f52940398ae6df0ea88b64f3,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,105,beats/min,,,2025-04-02 13:46:09, , , , ,B1B,1
bae784d0ce58436d8af84de69c5deb95,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,105,beats/min,,,2025-04-02 13:45:54, , , , ,B1B,1
9a154d4038a04c10899c0bba6883a22a,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,103,beats/min,,,2025-04-02 13:45:49, , , , ,B1B,1
53860adfdac148d1a01e49c9f19b6421,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,106,beats/min,,,2025-04-02 13:46:04, , , , ,B1B,1
d036badc2ad4435e832797bfdbf65a1c,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,102,beats/min,,,2025-04-02 13:45:59, , , , ,B1B,1
