数据唯一ID,用户ID,记录分组ID,上传时间,数据时间,心率(beats/min),心率单位,心率.测量开始时间,心率.测量结束时间,心率.测量时间,心率.统计描述,心率.身体活动状态,心率.睡眠状态,心率.用户备注,外部ID,元数据版本
fea9b1c22dad4d69855deec8a136bef9,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,108,beats/min,,,2025-04-07 09:44:49, , , , ,1,1
5144fbafab4a4a86bb9109ec2091672a,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,115,beats/min,,,2025-04-07 09:44:40, , , , ,1,1
1f3bcff168574c63ae90bd20303aab04,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,110,beats/min,,,2025-04-07 09:44:24, , , , ,1,1
1b0aa6ca2a0d4ffc959bac71a15097c6,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,112,beats/min,,,2025-04-07 09:44:44, , , , ,1,1
4e4185155338465dbe6578fc168b84fd,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,108,beats/min,,,2025-04-07 09:43:50, , , , ,1,1
69a83b2182eb4abf94f1e50f0fa866e2,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,110,beats/min,,,2025-04-07 09:44:10, , , , ,1,1
5b635730fac84ba0a55904ab2387448e,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,111,beats/min,,,2025-04-07 09:44:04, , , , ,1,1
ce7237c02a6b4021b08918bd5c129221,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,110,beats/min,,,2025-04-07 09:44:00, , , , ,1,1
4192889d870f4263b5d069aaffbd1373,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,109,beats/min,,,2025-04-07 09:43:29, , , , ,1,1
937c4737c34b4c108ac11d6185e460cd,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,109,beats/min,,,2025-04-07 09:43:34, , , , ,1,1
11cef46ed8b144d18d71f9dc62880200,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,109,beats/min,,,2025-04-07 09:43:44, , , , ,1,1
