数据唯一ID,用户ID,记录分组ID,上传时间,数据时间,Acceleration,Orientation,外部ID,元数据版本
d16ab7e592894c8ab81799a292bf5da8,ff204ebb74b94e37bb0debe1fcf2807d,0a7250be2b72402bab3a4b00b64b15a0,2025-04-05 01:22:00,2025-04-05 01:20:57,kitattachments/20250405/Motion/acceleration-1743787318444-c0e7fd62b0304493a9a0e00e4410e906.zip,kitattachments/20250405/Motion/orientation-1743787318512-c0e7fd62b0304493a9a0e00e4410e906.zip,1,1
f8c9be7b2f474a0fb3eb79cdfa2f95f3,ff204ebb74b94e37bb0debe1fcf2807d,a350df51eae64fb787d2f242e158863f,2025-04-05 01:20:51,2025-04-05 01:19:47,kitattachments/20250405/Motion/acceleration-1743787248530-7e2738dcdb1e4bcfa7857ac90732e5aa.zip,kitattachments/20250405/Motion/orientation-1743787248654-7e2738dcdb1e4bcfa7857ac90732e5aa.zip,1,1
